method	template	probe	audience	auth	origin	registration_source	consumer_source	consumer_fragment
POST	/api/v1/launch/benchmark/suite/driver	/api/v1/launch/benchmark/suite/driver	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabSuiteDrivers.tsx	api('POST', '/launch/benchmark/suite/driver'
GET	/api/v1/launch/benchmark/suite/drivers	/api/v1/launch/benchmark/suite/drivers	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabSuiteDrivers.tsx	api('GET', '/launch/benchmark/suite/drivers')
GET	/api/v1/launch/benchmark/suite/drivers/{id}	/api/v1/launch/benchmark/suite/drivers/missing	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	@developer-diagnostic	single benchmark suite driver status inspection
POST	/api/v1/launch/benchmark/suite/drivers/{id}/resume	/api/v1/launch/benchmark/suite/drivers/missing/resume	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabSuiteDrivers.tsx	`/launch/benchmark/suite/drivers/${encodeURIComponent(id)}/resume`
POST	/api/v1/launch/benchmark/suite/drivers/{id}/stop	/api/v1/launch/benchmark/suite/drivers/missing/stop	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabSuiteDrivers.tsx	`/launch/benchmark/suite/drivers/${encodeURIComponent(id)}/stop`
POST	/api/v1/launch/benchmark/suite/tick	/api/v1/launch/benchmark/suite/tick	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	@developer-diagnostic	manual benchmark suite progression tick
GET	/api/v1/launch/benchmark/suites/{id}	/api/v1/launch/benchmark/suites/missing	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	@developer-diagnostic	benchmark suite manifest inspection
GET	/api/v1/launch/preflight/{instance_id}	/api/v1/launch/preflight/missing	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	@developer-diagnostic	standalone launch preflight inspection
GET	/api/v1/launch/reports	/api/v1/launch/reports	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabCard.tsx	api('GET', '/launch/reports')
GET	/api/v1/launch/reports/{id}	/api/v1/launch/reports/missing	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabProofHistory.tsx	`/launch/reports/${encodeURIComponent(sessionId)}`
GET	/api/v1/loaders/install/{id}/events	/api/v1/loaders/install/missing/events	product-ui	capability-or-stream-ticket	allowed-local-origin-when-present	apps/api/src/routes/loaders.rs	frontend/src/loaders/api.ts	apiEventSourceUrl(`/loaders/install/${installId}/events`)
GET	/api/v1/music/status	/api/v1/music/status	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/music.rs	frontend/src/bootstrap.ts	api('GET', '/music/status')
GET	/api/v1/music/track	/api/v1/music/track	product-ui	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/music.rs	frontend/src/music.ts	apiResourceUrl(`/music/track?t=${this.track}`)
POST	/api/v1/onboarding/complete	/api/v1/onboarding/complete	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/setup.rs	frontend/src/views/onboarding/Onboarding.tsx	api('POST', '/onboarding/complete')
GET	/api/v1/performance/health	/api/v1/performance/health	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	frontend/src/views/instance/performance-mode.ts	`/performance/health?${params.toString()}`
POST	/api/v1/performance/install	/api/v1/performance/install	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	@internal-runtime	performance composition install orchestration adapter
GET	/api/v1/performance/instances/{instance_id}/operation	/api/v1/performance/instances/missing/operation	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	@internal-runtime	instance performance operation status adapter
GET	/api/v1/performance/operations/{id}	/api/v1/performance/operations/missing	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	@internal-runtime	performance operation journal status adapter
GET	/api/v1/performance/plan	/api/v1/performance/plan	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	@internal-runtime	performance composition plan inspection adapter
GET	/api/v1/performance/rollback	/api/v1/performance/rollback	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	@internal-runtime	performance rollback inventory adapter
POST	/api/v1/performance/rules/refresh	/api/v1/performance/rules/refresh	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	@internal-runtime	performance rules refresh adapter
GET	/api/v1/performance/status	/api/v1/performance/status	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/performance.rs	@internal-runtime	performance rules status adapter
POST	/api/v1/setup/init	/api/v1/setup/init	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/setup.rs	frontend/src/bootstrap.ts	api('POST', '/setup/init')
GET	/api/v1/skin/cape/file	/api/v1/skin/cape/file	product-ui	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/views/accounts/api.ts	`/skin/cape/file?id=${encodeURIComponent(cape.id)}`
POST	/api/v1/skin/cape/reset	/api/v1/skin/cape/reset	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('POST', '/skin/cape/reset'
GET	/api/v1/skin/head	/api/v1/skin/head	internal-runtime	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	@internal-runtime	backend-authored current-profile head media target
GET	/api/v1/skin/lookup	/api/v1/skin/lookup	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/views/accounts/api.ts	`/skin/lookup?${params.toString()}`
GET	/api/v1/skin/lookup/cape	/api/v1/skin/lookup/cape	internal-runtime	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	@internal-runtime	backend-authored username-lookup cape media target
GET	/api/v1/skin/lookup/file	/api/v1/skin/lookup/file	internal-runtime	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	@internal-runtime	backend-authored username-lookup skin media target
GET	/api/v1/skin/lookup/head	/api/v1/skin/lookup/head	internal-runtime	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	@internal-runtime	backend-authored username-lookup head media target
GET	/api/v1/skin/profile	/api/v1/skin/profile	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	@internal-runtime	current-profile skin metadata adapter
GET	/api/v1/skin/profile/file	/api/v1/skin/profile/file	product-ui	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/player-skin.ts	`/skin/profile/file?${params.toString()}`
POST	/api/v1/skin/profile/reset	/api/v1/skin/profile/reset	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('POST', '/skin/profile/reset'
GET	/api/v1/skins	/api/v1/skins	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('GET', '/skins')
POST	/api/v1/skins	/api/v1/skins	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	apiFetch(apiUrl(`/skins?${params.toString()}`)
DELETE	/api/v1/skins/{texture_key}	/api/v1/skins/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('DELETE', `/skins/${skin.texture_key}`)
PUT	/api/v1/skins/{texture_key}	/api/v1/skins/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('PUT', `/skins/${skin.texture_key}`
POST	/api/v1/skins/{texture_key}/apply	/api/v1/skins/missing/apply	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	`/skins/${textureKey}/apply?defer=true`
GET	/api/v1/skins/{texture_key}/file	/api/v1/skins/missing/file	product-ui	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/views/accounts/api.ts	`/skins/${skin.texture_key}/file`
PUT	/api/v1/skins/{texture_key}/texture	/api/v1/skins/missing/texture	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/views/accounts/api.ts	apiUrl(`/skins/${textureKey}/texture?${params.toString()}`)
POST	/api/v1/skins/flush	/api/v1/skins/flush	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('POST', '/skins/flush')
POST	/api/v1/skins/from-profile	/api/v1/skins/from-profile	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('POST', '/skins/from-profile'
POST	/api/v1/skins/from-username	/api/v1/skins/from-username	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/views/accounts/use-saved-skin-lookup-workflow.ts	api('POST', '/skins/from-username'
POST	/api/v1/skins/normalize	/api/v1/skins/normalize	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/views/accounts/api.ts	apiUrl('/skins/normalize')
DELETE	/api/v1/skins/pending	/api/v1/skins/pending	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/skin.rs	frontend/src/machines/skin-wardrobe.ts	api('DELETE', '/skins/pending')
GET	/api/v1/status	/api/v1/status	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/status.rs	frontend/src/bootstrap.ts	api('GET', '/status').then(launcherStatusResponse)
GET	/api/v1/system	/api/v1/system	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/system.rs	frontend/src/bootstrap.ts	api('GET', '/system')
POST	/api/v1/telemetry/frontend-error	/api/v1/telemetry/frontend-error	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/telemetry.rs	frontend/src/error-reporting.ts	api('POST', '/telemetry/frontend-error'
POST	/api/v1/transport/bootstrap	/api/v1/transport/bootstrap	transport-internal	capability-or-origin-bootstrap	allowed-local-origin-required-for-bootstrap	apps/api/src/routes/mod.rs	frontend/src/api.ts	fetch(apiUrl('/transport/bootstrap'), { method: 'POST' })
POST	/api/v1/transport/tickets	/api/v1/transport/tickets	transport-internal	capability	allowed-local-origin-when-present	apps/api/src/routes/mod.rs	frontend/src/api.ts	fetch(apiUrl('/transport/tickets'), {
GET	/api/v1/update	/api/v1/update	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/update.rs	frontend/src/updater.ts	force ? '/update?force=1' : '/update'
POST	/api/v1/update/apply	/api/v1/update/apply	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/update.rs	frontend/src/updater.ts	api('POST', '/update/apply')
POST	/api/v1/update/download	/api/v1/update/download	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/update.rs	frontend/src/updater.ts	api('POST', '/update/download'
GET	/api/v1/update/flow	/api/v1/update/flow	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/update.rs	frontend/src/updater.ts	api('GET', '/update/flow')
GET	/api/v1/versions	/api/v1/versions	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/versions.rs	frontend/src/bootstrap.ts	api('GET', '/versions').then(versionsResponse)
